index,country,content1,content2,content3
1,가나,"▸3.5.부터 신규 사증 발급 중단(3.5.) ※ 공무 및 필수 방문자의 신규 사증 발급은 가능",,
2,가봉,"▸한국, 중국, 이란, 이탈리아를 방문 후 입국한 외국인 대상 입국 금지(3.9.) ※ 외교관(입국 48시간 이전 사전 통보 필요) 및 거주자의 경우 입국이 허용되나 
입국시 의학 검사를 통해 유증상시 14일간 격리 조치 ※ 경제적 목적으로 입국하는 경우 관련 결정을 위해 사전에 유관당국에 통보 필요",,
3,가이아나,"▸한국, 중국, 이탈리아, 일본, 브라질 등(고위험국가 15개국)을 방문 후 입국한 외국 인 대상 △발열검사 실시, △전화 등 원격으로 모니터링 시행, △유증상 시 지정병 원으로 이송(3.12.)",,
4,과테말라,"▸3.11.부터 한국, 중국, 이란, 이탈리아, 독일, 스페인, 프랑스에서 출발.경유하여 입 국하는 외국인 대상 입국 금지조치(3.12.) ※ 상기 국가 외 지역에서 30일 이상 체류한 경우에 한해 입국 가능 ※ 자국민, 거주비자 소지자, 외교관은 입국가능하나 △의심증상이 나타나는 경우 지정 
병원에서 7일간 격리, △무증상의 경우 매일 집에서 검사받는 것을 조건으로 최소 7 일간 자가격리",,
5,그레나다,"▸입국 전 14일 이내 한국, 중국, 이탈리아, 이란, 독일 등을 방문 후 입국한 외국인 대상 입국금지(3.10.)",,
6,나우루,"▸입국 전 21일 이내 한국, 중국, 홍콩, 마카오, 이탈리아를 방문 후 입국한 외국인 대상 입국금지(3.3.)",,
7,나이지리아,"▸한국, 중국, 이탈리아, 이란, 일본을 방문 후 입국한 외국인 대상 △유증상(발열, 기침 등) 시 자가격리 및 질병관리본부에 신고, △무증상자 시 14일간 자가격리 권고(2.27.)",,
8,네팔,"▸3.14. 12:00부터 4.30.까지 모든 외국인 대상 도착 비자 발급 잠정 중단 / 비자 신청 및 입국 시 입국일 기준 7일 이내 발급된 코로나19 음성 확인서 제출 필요 / 3.14. 이후 입국한 모든 내외국인 대상 14일간 자가 격리 권고(3.13.) ※ 3.10. 이전 취득 사증은 여전히 유효하나 입국시 코로나19 음성 확인서 필요 
※ 인도를 경유하여 입국하는 경우에도 비자 필요 ※ 3.14.부터 모든 외국인은 네팔 입국 시 카트만두 트리부반 공항으로만 이용 / 육로 
입국 금지",,
9,노르웨이,"▸증상유무와 관계없이 노르딕 국가(노르웨이, 스웨덴, 덴마크, 핀란드, 아이슬란드) 이외 국가에서 입국하는 내외국인 대상 노르딕 국가 입국 후 2주간 의무적 자가 격리(3.12.) ※ 의무적 자가 격리 또는 출발지(경유지)로 복귀 선택 가능",,
10,뉴질랜드,"▸3.15. - 3.31. 입국하는 모든 내외국인 대상 △14일간 자가격리, △보건당국에 자가격리 등록(3.14.) 
※ 3.14-6.30. 크루즈 선박 뉴질랜드 입항 금지",,
11,니우에,"▸입국 전 14일 이내 한국, 중국, 대만, 이란, 이탈리아, 일본, 싱가포르, 태국을 방문 후 입국한 외국인 대상 입국 금지(3.13.) ※ 니우에 정부가 발행한 서면 승인서가 있는 경우 입국 허용",,
12,니제르,▸코로나19 발병국을 방문 후 입국한 내외국인 대상 14일간 자가격리(3.10.),,
13,대만,▸한국을 방문 후 입국한 외국인(대만인 포함) 대상 14일간 자가격리(2.25.),,
14,덴마크,"▸3.14. 12:00부터 4.13까지 국적 불문 모든 외국인 입국 금지(3.13.) ※ 덴마크 내 체류허가 된 외국인(근로자, 학생, 거주자 등) 등은 입국 가능",,
,,,,
15,동티모르,"▸입국 전 4주 내 한국, 중국, 이탈리아, 이란을 방문 후 입국한 내외국인 대상 14일간 시설 격리(3.11.)",,
16,라오스,"▸입국 전 14일 이내 한국, 중국 등을 방문 후 입국한 외국인 대상 △검역신고서 작성 의무화, △유증상(발열 등) 시 3회에 걸친 검사 실시(2.27.)",,
17,라이베리아,"▸입국 전 14일 이내 한국, 중국, 이란 등을 방문 후 입국한 외국인 대상 격리(지 정시설)(3.2.)",,
18,러시아,"▸(모스크바 모든 공항) 한국발, 중국발, 이란발 항공기 탑승 내외국민 대상 △진단검사 실시, △연락처 확보 및 사진촬영, △14일간 자가격리(3.3.) 
※ 이탈리아 등 코로나 위험국가발 항공기 탑승 내외국민 대상 △연락처 확보 및 사진 촬영, △14일간 자가격리(3.3.) 
※ (모스크바 시정부) 자가격리 명령 위반 외국인 대상 강제출국 후 향후 5년간 러시아 재입국 금지(3.4.) 
▸(사할린주) 한국, 일본, 중국 등을 방문 후 입국한 외국인 대상 검사 및 설문조사 실 시, △유증상 시 시설격리 및 치료(21일), △무증상 시 14일 간 자가격리 
▸(연해주) 2.27.-4.1.간 연해주 항만에는 한국, 중국, 일본 등 코로나 바이러스 감염지역으 로 등록된 아태지역 국가로부터 도착한 선박의 선원들에 대해 하선 금지(2.27.) 
▸(이르쿠츠크) 이르쿠츠크 공항으로 입국하는 모든 내외국민을 대상으로 △발열검사, △ 설문지 작성, △검체 채취, △14일간 자가격리 및 원격 관찰 실시(3.4.)",,
19,레바논,"▸한국, 중국, 이란, 이탈리아 등을 방문 후 입국한 외국인 대상 입국금지(2.28.) ※ 레바논 국민 및 레바논 내 거주자(거주증 소지자‧외교관 및 국제기구 직원‧ 
레바논 국적자와 결혼한 외국인)는 입국 가능",,
20,루마니아,"▸한국, 중국, 이란, 이탈리아를 방문 후 입국한(입국수단 무관) 외국인 대상 14일간 격리조치를 조건으로 입국이 허용되나, 동 격리기간 중 루마니아 출국 불가(3.9.) 
- (시설격리 대상) 대구.청도, 중국(후베이성), 이탈리아 - (자가격리 대상) 한국(대구.청도 외), 중국(후베이성 외), 이란, 독일(웨스트팔리아) 
※ 자가격리 위반 시 벌금 4,000 유로",,
21,르완다,"▸한국, 중국, 프랑스, 이란, 이탈리아 등 코로나19 발병국을 방문 후 입국한 외국인 대상 문진 및 발열 검사 실시, △유증상시 추가 조사 및 검사를 위해 병원으로 이 송, ▴양성 반응 시 확진자로 분류되어 치료센터로 즉시 이송, ▴음성 반응시 14일 간 자가격리(상시 마스크 착용 및 가족들과도 격리 생활) 및 보건당국 추적 조사, △무증상이라도 입국 시 위험군으로 분류되어 관련 명부 등재 및 14일간 보건당국 일일 모니터링((3.8.)",,
22,마다가스카르,"▸입국 전 14일 이내 한국, 중국, 홍콩, 대만, 마카오, 이탈리아, 이란을 방문 후 입국한 내외국민 대상 입국금지(2.28.) ※ 외교관 및 취약한 상황에 처한 자국민 승인부 예외(3.3.)",,
23,마셜제도,"▸2019.12.31. 이후 한국, 중국, 홍콩, 마카오, 이탈리아, 일본, 이란, 독일, 프랑스, 스 페인을 출발‧경유 후 입국한(항공‧해상) 외국인 대상 입국금지(2.28.)",,
24,마이크로네시아,▸입국 전 14일 이내 한국 등을 방문 후 입국한 외국인 대상 입국금지(2.24.),,
25,마카오,"▸입국 전 14일 내 한국을 방문 후 입국하는 외국인 대상 격리(지정시설) (2.26.) ※ 비거주자의 경우 정부제공 호텔 내 격리, 거주자의 경우 자가격리",,
26,말라위,"▸한국, 중국 등을 방문 후 입국한 외국인 대상 △유증상 시 공항 내 검진 후 증상에 따라 격리(지정시설), △무증상 시 14일간 자가격리 권고(2.28.)",,
,,,,
27,말레이시아,"▸3.13.부터 한국, 이란, 이탈리아를 방문 후 입국한 외국인 대상 입국.경유 금지(3.10.) ※ 한국, 이탈리아, 이란 국적자가 제3국 장기 체류 비자를 소지하고, 입국전 14일 
이내 한국, 이탈리아, 이란 방문 이력이 없는 경우 입국 가능 - 출입국 심사 시 외국에 거주중이며, 입국전 14일 이내 상기 국가 방문 이력이 
없음을 입증 필요(제3국 입출국 스탬프, 출입국 증명 등) ※ 말레이시아 영주권자, 장기 비자 소지자는 한국, 이란, 이탈리아에 체류 경험이 
있어도 입국가능하나 14일 자가 격리 명령",,
28,말리,"▸코로나19(확진자 500명 이상) 발생국으로부터 입국하는 내외국인 대상, △경증 증상 시 14일간 자가격리 상태에서 일일 건강 모니터링, △중증증상 시 격리시설 이송",,
29,멕시코,"▸한국, 중국, 일본, 싱가포르, 홍콩, 이란, 이탈리아를 방문 후 입국한 내외국민 대상 △경증증상 시 자가 격리 상태에서 14일간 매일 의료진의 문진 또는 원격으로 모니터 링 진행, △중증증상 시 병원으로 이송하여, 정밀검사 실시(48시간 이내)후 감염여부 확인(2.29.)",,
30,모로코,"▸한국, 중국, 이태리 방문 후 입국한 내외국민 대상 △별도창구에서 입국심사, △발열검사 등 실시, △유증상(발열, 기침 등) 시 지정병원으로 이송, 의무 샘플 검사 실시 (3일간 격리 상태에서 검사 실시 후 음성 판정 후 퇴원)(2.28.)",,
31,모리셔스,"▸입국 전 14일 이내 한국, 이탈리아(북부 3개주)를 방문 후 입국한 외국인 대상 임시 입국금지(2.24.) ※ 모리셔스 거주자 및 배우자, 자녀의 경우 14일 격리 후 입국 가능(3.3.)",,
32,모리타니아,"▸한국, 중국, 이란, 이탈리아를 방문 후 입국한 내외국인 대상 14일간 격리 (지정시설)(3.3.)",,
33,모잠비크,"▸한국, 중국, 이란, 이탈리아, 프랑스, 독일을 방문 후 입국한 외국인 대상 △무증상 시 14일간 자가격리, △유증상 시 격리(지정시설)(3.3.)",,
34,몬테네그로,"▸한국, 이탈리아, 스페인, 이란 중국(후베이성)을 방문 후 입국한 외국인 대상 입국금지(3.10.)",,
35,몰도바,"▸한국, 중국, 이탈리아, 이란발(경유 포함) 승객 대상 항공편 탑승 금지(3.10.) ※ 국적자 및 거주권자는 상기 조치에서 제외되나, 검역설문서 제출 및 14일간 
자가격리를 조건으로 입국 허용",,
36,몰디브,"▸입국 전 14일 이내 한국(대구, 경북, 경남, 부산)을 방문 후 입국한 외국인 대상 입국 및 경유 금지(3.2.) 
※ 입국 전 14일 내 중국 본토(2.3), 이란(2.26.), 이탈리아(3.8.), 방글라데시(3.9.), 스 페인 전역 및 독일, 프랑스 특정 지역(3.15.)을 방문 후 입국한 외국인 대상 입 국 및 경유금지",,
37,몰타,"▸3.13. 이후 입국한 모든 내외국인 대상 14일간 의무적 자가 격리(집 또는 호텔)(3.13.) ※ 위반시 벌금 1,000유로",,
38,몽골,"▸2.27.-3.28. 간 입국 전 14일 이내 한국, 중국, 이탈리아, 일본, 이란을 방문‧경유 후 입국한 외국인 대상 입국금지(3.8.)",,
39,미얀마,"▸3.7.부터 대구.경북발 외국인(거주지를 두고 있는 외국인 및 최근 해당 지역을 방문 한 외국인을 포함) 대상 입국금지(3.6.) 
- 3.12.부터 한국, 이란, 이탈리아발 입국자는 코로나 음성 판정 확인서 지참 의무(3.11.) ※ 대구.경북을 방문 또는 체류한 미얀마 국민 14일간 격리",,
40,민주콩고,"▸공항 도착 시 모든 승객에 대해 △발열검사 실시, △검역신고서 등 서류 작성 및 제출, △유증상 시 공항 내 격리시설로 이동 및 병원 이송 후 정밀검사 실시(3.2.)",,
41,바누아투,"▸입국 전 14일 이내 한국, 중국, 대만, 홍콩, 마카오, 일본, 싱가포르를 방문 후 입국한 외국인 대상 입국금지(2.28.) ※ 2019.12.31.이후 상기 국가를 방문한 외국인은 입국 전 14일간 그 외 지역에서 
체류한 경우에도 바누아투 정부 양식에 따라 정식 의사의 미감염 확인서를 제출 
해야만 입국 허가(2.28.) ※ △바누아투행 비행기 탑승 전 승객은 보건문진표를 작성(최근 14일 내 상기 국 
가를 방문했는지 답변 의무), △바누아투 정부 양식에 따른 의사확인서 제출, △ 왕복 항공권 필요",,
42,바레인,"▸입국 전 14일 이내 한국, 태국, 말레이시아, 싱가포르, 이란을 방문 후 입국한 외국인 대상 입국금지(2.21.) ※ 거주허가증 보유자는 조건부(검사, 격리 등) 입국 허용",,
43,바베이도스,"▸입국 전 14일 이내 한국, 중국, 이탈리아, 이란 등을 방문 후 입국한 외국인 대상 14일간 △경증증상 시 자가격리, △중증증상 시 시설 격리",,
44,바하마,"▸입국 전 20일 이내 한국, 이란, 이탈리아를 방문 후 입국한 외국인 대상 입국금지(3.5.) ※ 자국민 및 영주권자 대상 14일간 격리 조치",,
45,방글라데시,"▸한국, 중국, 이란, 이탈리아 방문 후 입국한 외국인 대상 14일간 자가 격리 권고(3.11.)",,
46,베네수엘라,"▸한국, 중국, 일본, 싱가포르 등을 방문 후 입국한 외국인 대상 △발열검사 실시, △ 검역신고서 작성 및 제출, △전화 등 원격으로 모니터링 시행, △유증상 시 지정병 원으로 이송(2.27.)",,
47,베트남,"▸유효한 사증을 소지한 한국인의 입국을 금지하고 있지는 않으나 14일간 격리 
※ 한국인 대상 15일 무사증 입국 임시 중단(2.29.) 
※ 3.15. 정오부터 30일간 모든 외국인에 대한 도착비자 발급 중단(3.14.) ▸한국, 중국, 이탈리아, 이란에서 출발, 또는 경유(국적불문)하여 입국하거나 유증상 
자(발열, 기침, 호흡곤란)와 밀접하게 접촉한 자 격리(지정시설)(3.1.) / 상기 국가로 부터 출발.경유하여 입국한 자는‘의료 검역 신고’의무 작성 - (의료검역 신고서) 인적사항, 최근 14일간 방문지역 등의 질문을 포함하고 있으며 
온라인( http://suckhoetoandan.vn/khaiyte)으로도 신고 가능(3.7.) ※ 한국, 중국, 이탈리아, 이란이외 지역에서 출발하거나 경유하여 입국하는 자는 격리 (근무지 또는 거주지에서 자체 건강상태를 주시하고, 발열, 기침, 호흡곤란 등 증상 
이 있으면 즉시 의료시설로 이송(3.1.) 
※ 공식 목적으로 입국하는 외국인 대상 관찰, 건강검진, 격리(3.1.) 
※ 입국 전 14일 이내 솅겐 지역 26개국 및 영국을 방문 또는 경유 후 입국한 외 국인 대상 입국 금지(3.14.)",,
48,벨라루스,"▸한국, 이탈리아, 일본, 싱가포르, 태국을 방문 후 입국한 외국인 대상 14일간 지역 보건당국에 연락 후 모니터링(2.25.) ※ 한국, 중국, 이란, 이탈리아에서 입국하는 학생 대상 14일간 격리(지정시설)(2.25)",,
49,벨리즈,"▸한국, 중국, 프랑스, 독일, 이탈리아, 이란, 일본, 스페인을 방문 후 입국한 외국인 대상 일정기간 자가 격리(3.13.) ※ △격리에 수반되는 비용 자기 부담, △격리 기간 동안 건강상태 보건부에 통보, 
△격리 기간 동안 본인 희망 시 출국 가능",,
50,보스니아 헤르체고비나,"▸한국, 이탈리아, 이란, 중국(후베이성), 독일, 스페인, 프랑스 등을 방문 후 입국한 외국인 대상 입국 금지(3.12.) 
※ 상기 지역 이외에도 입국시 검역관의 판단에 따라 입국금지 또는 14일간 자가 격리",,
51,부룬디,"▸한국, 중국, 일본, 이란, EU국가를 방문 후 입국하거나, 입국 전 14일 이내 동 국가 를 방문한 이력이 있는 외국인 대상 14일간 격리(지정호텔)(3.12.)",,
52,부르키나파소,"▸공항 도착 시 모든 승객에 대해 △발열검사 실시, △유증상 시 48시간 격리하여 정밀 검사 실시(3.5.)",,
53,부탄,▸3.6.부터 향후 2주간 모든 외국인 대상 입국금지(3.6),,
54,북마케도니아,"▸입국 전 14일 이내 한국, 중국, 이탈리아(북부) 등을 방문 후 입국한 외국인(해당 외국 인과 함께 거주하는 자 포함) 대상 보건당국에 등록 및 의무적 자가격리(3.11.)",,
55,불가리아,▸코로나19 확진자 발생 국가 방문 후 입국한 외국인 대상 14일간 의무적 자가격리(3.13.),,
56,브라질,▸입국하는 모든 내외국인 7일간 자가격리 권고(3.14.),,
57,브루나이,"▸입국 전 14일 이내 한국, 중국 본토, 이탈리아, 이란을 방문 후 귀국하는 브루나이 국 민 및 외국국적 브루나이 영주체류자 대상 입국일 익일부터 14일간 자가격리(3.5.) ※ 관광, 상용 등 단기체류자의 경우 해당없음",,
58,사모아,"▸입국 전 14일 이내 한국, 중국, 홍콩, 마카오, 일본, 싱가포르, 태국, 이탈리아, 이란, 쿠웨이트, 대만 등을 방문 후 입국한 외국인 대상 입국금지 / 14일이 지난 경우, 입 국을 위해 입국 3일 전 건강검진 후 확인서 제출(2.19.)",,
59,사모아(미국령),"▸입국 전 14일 이내 코로나19 확진자 발생 국가(한국, 중국, 홍콩, 마카오, 일본, 싱가포 르, 태국, 이탈리아, 이란, 쿠웨이트, 대만, 독일, 스페인, 프랑스, 바레인 등)를 방문 후 입 국한 내외국인 대상 입국금지 / 14일이 지난 경우 입국 3일전 건강검진서 제출(3.6.)",,
60,사우디,"▸입국 전 14일 이내 한국, 이집트, 이탈리아, 이라크, 쿠웨이트, 바레인, 레바논, 시 리아, UAE, 독일, 프랑스, 스페인, 터키, 오만, EU, 스위스, 인도 등을 방문.경유한 외국인(항공‧해상) 대상 입국금지(3.8.) 
※ 중국, 대만, 홍콩, 마카오, 이란을 방문 후 입국한 모든 입국자에 대해 입국금지(2.27.) ※ UAE‧쿠웨이트‧바레인으로부터 사우디로의 육로 입국 불허(3.7.) ※ 한국, 이탈리아, 이집트, 레바논을 거쳐 사우디로 이미 입국한 경우 사우디 도착 기준 
14일간 자택격리(3.8.)",,
61,사이프러스,"▸3.15. 01:00부터 국적 불문 모든 외국인 입국금지(3.13.) ※ △사이프러스 체류허가증 소지자, △사이프러스 내 근로자, △외교관, △필수 
전문직 종사자, △사이프러스 교육기관 재학생은 입국 허용",,
62,세르비아,"▸한국(대구.경북), 이탈리아, 이란, 중국(후베이성), 스위스(티치노)를 방문 후 입국한 외 국인 대상 입국 금지(3.10.)",,
63,세이셸,"▸입국 전 14일 이내 한국, 중국, 홍콩, 마카오, 이란 등을 방문 후 입국한 외국인 대상 입국금지(2.25.)",,
64,세인트루시아,"▸한국, 일본, 이탈리아, 싱가포르, 홍콩을 방문 후 입국한 외국인 대상 14일 격리(2.26.)",,
65,세인트빈센트 그레나딘,"▸입국 전 14일 이내 한국, 중국, 일본, 홍콩, 마카오, 싱가포르를 방문 후 입국한 외국인 대상 14일간 격리(2.28.)",,
66,세인트키츠네비스,"▸입국 전 14일 이내 한국, 중국, 이란, 홍콩, 싱가포르, 일본, 이탈리아를 방문 후 입 국한 내외국인 대상 14일간 자가 또는 지정시설 격리 - 입국자 대상 방문 전 6주간의 방문한 국가, 장소 등을 입국카드에 기재할 것을 요청",,
67,솔로몬제도,"▸입국 전 14일 이내 한국, 중국, 일본, 싱가포르, 이탈리아, 홍콩, 태국, 이란, 대만, 마카오를 방문 후 입국한 외국인 대상 입국금지(2.25.)",,
68,수단,"▸한국, 중국, 일본, 이탈리아, 이란, 프랑스, 스페인, 이집트를 방문 후 입국한 외국 인 대상 입국 금지 및 입국비자 발급 중단",,
69,스리랑카,"▸입국 전 14일 이내 한국, 이란, 이탈리아에서 출발‧경유하여 입국한 외국인 대상 격리 (3.8.) 
※ 3.14.부터 한국, 이탈리아, 이란에서 출발 또는 3.15.부터 프랑스, 스페인, 독일, 스위스, 덴마크, 네덜란드, 스웨덴, 오스트리아에서 출발 했거나, 입국 전 14일 이내 상기 국가에 체류한 적이 있는 승객의 항공기 탑승을 불허하도록 권고 
※ 3.14.부터 모든 외국인 대상 도착비자 발급 잠정 중단(3.11.)",,
70,슬로바키아,"▸모든 외국인 입국금지 ※ 슬로바키아 여권 소지자, 임시.영구 체류허가증 소지자, 외교관 등은 상기조치에 
서 제외되나 어떤 국가로부터 입국했는지와 무관하게 14일간 의무적 자가격리 ※ 3.13. 07시부터 헝가리, 오스트리아, 우크라이나, 체코 국경에서의 출입국심사 시행",,
71,시에라리온,"▸3.16.부터 코로나19 확진자 50명 이상 발병국 방문 후 입국한 외국인 14일간 지정 시설에서 격리(3.14.) ※ 코로나19 확진자 50명 미만 발병국 방문 후 입국한 외국인 14일간 자가 격리",,
